Year_Month,Fuel_Category,Zip_Code,Count
2020/07,Plug-in Hybrid,80538,1
2020/07,Plug-in Hybrid,80922,1
2020/07,Plug-in Hybrid,98119,1
2020/07,Plug-in Hybrid,UNKNOWN,18
2020/08,Electric,19973,1
2020/08,Electric,20601,22
2020/08,Electric,20602,26
2020/08,Electric,20603,57
2020/08,Electric,20607,34
2020/08,Electric,20608,1
2020/08,Electric,20613,29
2020/08,Electric,20616,7
2020/08,Electric,20619,29
2020/08,Electric,20620,2
2020/08,Electric,20621,2
2020/08,Electric,20622,2
2020/08,Electric,20623,3
2020/08,Electric,20628,1
2020/08,Electric,20629,1
2020/08,Electric,20630,2
2020/08,Electric,20632,1
2020/08,Electric,20634,10
2020/08,Electric,20636,20
2020/08,Electric,20637,12
2020/08,Electric,20639,25
2020/08,Electric,20640,9
2020/08,Electric,20645,3
2020/08,Electric,20646,23
2020/08,Electric,20650,32
2020/08,Electric,20653,25
2020/08,Electric,20657,20
2020/08,Electric,20658,3
2020/08,Electric,20659,16
2020/08,Electric,20662,1
2020/08,Electric,20664,6
2020/08,Electric,20674,3
2020/08,Electric,20675,3
2020/08,Electric,20676,3
2020/08,Electric,20677,9
2020/08,Electric,20678,15
2020/08,Electric,20680,1
